활동ID,거래처명,담당영업,활동유형,활동일,활동결과,다음액션
ACT-0001,한국철도공사 광주중부지점,박민준,제품시연,2023-11-01,긍정,시범 설치 일정 확정
ACT-0002,국민건강보험공단 인천중부지점,이영희,계약협의,2023-07-05,부정,요구사항 불일치로 종료
ACT-0003,경남은행 서울남부지점,정대한,전화상담,2023-10-21,긍정,계약서 발송 예정
ACT-0004,대구은행 서울서부지점,최수진,계약협의,2023-10-01,보류,1개월 후 재연락
ACT-0005,NH농협은행 광주북부지점,한미래,전화상담,2023-12-27,보류,내부 승인 대기 중
ACT-0006,IBK기업은행 대구본부,정대한,제품시연,2022-03-26,부정,요구사항 불일치로 종료
ACT-0007,신한은행,한미래,전화상담,2024-11-12,보류,내부 승인 대기 중
ACT-0008,신한은행 서울본부,박민준,계약협의,2024-10-12,보류,예산 확정 후 재미팅
ACT-0009,롯데마트,이영희,제안서발송,2024-09-30,긍정,PO 수령 후 착수
ACT-0010,KB국민은행 경기강남지점,박민준,전화상담,2022-06-02,부정,도입 시기 미정
ACT-0011,부산은행 대전동부지점,한미래,제안서발송,2022-04-05,긍정,납품 일정 협의 예정
ACT-0012,서울교통공사,최수진,전화상담,2023-09-18,부정,타사 제품 유지 결정
ACT-0013,롯데마트 부산본부,한미래,전화상담,2023-06-12,긍정,계약서 발송 예정
ACT-0014,이마트,정대한,제품시연,2022-06-19,보류,내부 승인 대기 중
ACT-0015,대구은행 대전중부지점,이영희,제품시연,2023-01-22,긍정,계약서 발송 예정
ACT-0016,국민건강보험공단 인천중부지점,이영희,계약협의,2022-10-25,긍정,시범 설치 일정 확정
ACT-0017,국민건강보험공단 인천중부지점,박민준,제안서발송,2022-10-23,보류,기술 검토 결과 확인 예정
ACT-0018,우리은행,최수진,방문미팅,2024-04-13,부정,예산 없음으로 보류
ACT-0019,롯데마트,최수진,방문미팅,2023-11-28,긍정,PO 수령 후 착수
ACT-0020,롯데마트,박민준,제안서발송,2022-08-06,보류,기술 검토 결과 확인 예정
ACT-0021,롯데마트,박민준,방문미팅,2023-10-18,보류,내부 승인 대기 중
ACT-0022,우리은행 부산서부지점,정대한,전화상담,2022-10-13,긍정,시범 설치 일정 확정
ACT-0023,KB국민은행 서울북부지점,정대한,전화상담,2023-03-09,보류,예산 확정 후 재미팅
ACT-0024,우리은행 부산서부지점,정대한,제품시연,2023-12-20,긍정,PO 수령 후 착수
ACT-0025,IBK기업은행 인천남부지점,정대한,제안서발송,2023-01-24,부정,도입 시기 미정
ACT-0026,서울시설공단,이영희,제안서발송,2022-04-28,보류,내부 승인 대기 중
ACT-0027,롯데마트 부산본부,최수진,방문미팅,2023-11-20,보류,1개월 후 재연락
ACT-0028,BGF리테일,박민준,제안서발송,2024-05-04,긍정,납품 일정 협의 예정
ACT-0029,부산교통공사 인천강북지점,한미래,제품시연,2022-06-02,보류,예산 확정 후 재미팅
ACT-0030,서울시설공단 경기북부지점,박민준,계약협의,2022-03-20,부정,타사 제품 유지 결정
ACT-0031,부산은행 대전동부지점,이영희,전화상담,2024-10-10,부정,경쟁사 선정됨
ACT-0032,이마트,한미래,제안서발송,2024-04-19,긍정,계약서 발송 예정
ACT-0033,NH농협은행 광주북부지점,김철수,방문미팅,2022-01-23,긍정,계약서 발송 예정
ACT-0034,한국도로공사 대구강북지점,정대한,방문미팅,2022-05-25,부정,경쟁사 선정됨
ACT-0035,GS리테일 대전북부지점,김철수,방문미팅,2023-01-03,보류,예산 확정 후 재미팅
ACT-0036,NH농협은행,한미래,제품시연,2022-09-16,보류,예산 확정 후 재미팅
ACT-0037,대구은행 대전중부지점,박민준,제품시연,2023-09-24,긍정,견적서 수정 후 재발송
ACT-0038,한국도로공사,김철수,방문미팅,2024-01-25,긍정,납품 일정 협의 예정
ACT-0039,신한은행 서울본부,최수진,제품시연,2024-01-18,부정,타사 제품 유지 결정
ACT-0040,이마트 경기서부지점,최수진,전화상담,2022-11-29,부정,타사 제품 유지 결정
ACT-0041,부산교통공사 인천강북지점,최수진,계약협의,2023-09-15,긍정,PO 수령 후 착수
ACT-0042,신한은행 대전남부지점,정대한,제안서발송,2022-04-02,보류,예산 확정 후 재미팅
ACT-0043,BGF리테일,김철수,제품시연,2022-09-13,긍정,납품 일정 협의 예정
ACT-0044,롯데마트,이영희,제안서발송,2023-08-12,긍정,계약서 발송 예정
ACT-0045,경남은행 서울남부지점,이영희,제안서발송,2022-01-04,긍정,납품 일정 협의 예정
ACT-0046,신한은행,한미래,제품시연,2023-08-30,긍정,PO 수령 후 착수
ACT-0047,서울시설공단 경기북부지점,최수진,제안서발송,2023-02-16,긍정,시범 설치 일정 확정
ACT-0048,신한은행,정대한,제안서발송,2023-12-08,긍정,견적서 수정 후 재발송
ACT-0049,이마트 경기서부지점,최수진,제품시연,2023-03-20,긍정,견적서 수정 후 재발송
ACT-0050,대구은행 대전중부지점,한미래,제품시연,2023-10-20,긍정,PO 수령 후 착수
ACT-0051,NH농협은행,최수진,전화상담,2024-12-18,긍정,시범 설치 일정 확정
ACT-0052,한국철도공사 광주중부지점,한미래,제안서발송,2024-05-13,보류,예산 확정 후 재미팅
ACT-0053,BGF리테일 서울동부지점,박민준,제품시연,2024-10-25,보류,추가 검토 요청
ACT-0054,국민건강보험공단,이영희,제안서발송,2024-01-27,부정,경쟁사 선정됨
ACT-0055,한국철도공사 광주중부지점,최수진,제안서발송,2022-08-29,보류,기술 검토 결과 확인 예정
ACT-0056,신한은행 서울본부,김철수,전화상담,2022-10-22,긍정,계약서 발송 예정
ACT-0057,KB국민은행,이영희,방문미팅,2023-04-06,부정,요구사항 불일치로 종료
ACT-0058,NH농협은행 인천강남지점,최수진,방문미팅,2022-12-05,긍정,견적서 수정 후 재발송
ACT-0059,신한은행,최수진,전화상담,2022-04-01,긍정,납품 일정 협의 예정
ACT-0060,국민건강보험공단 인천중부지점,박민준,제품시연,2024-06-18,긍정,계약서 발송 예정
ACT-0061,경남은행 서울남부지점,이영희,방문미팅,2024-04-22,긍정,납품 일정 협의 예정
